"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
5," zc04_161b ",14,0,9.8,3.853333,0.492933,1.267179,0.292333,2.606667,1.139972,0,0.193292,1.299296,326.464496,0.035377
5," zc04_161b ",15,0,6.216667,11.823333,0.616156,0.328051,0.336722,1.28,0.759806,0,0.15477,1.258701,260.582745,0.089016
5," zc04_161b ",16,0,8.916667,3.746667,0.251895,0.642056,0.283389,2.9,0.455083,0,0.211547,1.638488,160.439975,0.047001
5," zc04_161b ",17,0,3.41,2.04,0.621442,0.872466,0.103889,13.1,0.302861,0,0.241458,1.626482,118.973935,0.045873
5," zc04_161b ",18,0,20.286667,18.113333,1.001838,1.117545,0.875833,2.263333,0.769361,0.507111,0.242417,1.584306,1349.514587,0.165276
5," zc04_161b ",19,0,3.89,9.476667,0.664041,0.24587,0.278722,2.39,0.452917,0,0.073218,0.752767,155.409824,0.05741
5," zc04_161b ",20,0,5.133333,7.4,0.378262,0.234106,0.268667,5.69,0.144417,0,0.047843,0.566999,115.404542,0.014247
5," zc04_161b ",21,0,14.383333,20.803333,1.342193,0.90022,0.947056,3.1,0.534417,0.512528,0.225783,1.538014,1250.718698,0.112777
5," zc04_161b ",22,0,5.663333,4.89,0.566188,0.569203,0.252722,8.463333,0.230028,0,0.081782,0.749117,187.833218,0.020962
5," zc04_161b ",23,0,15.316667,22.783333,1.342756,0.885104,0.9745,2.75,0.876222,0.503417,0.218524,1.522415,1344.472583,0.117206
5," zc04_161b ",24,0,4.61,4.936667,0.665561,0.527756,0.264056,1.98,0.566333,0,0.061295,0.685597,175.751122,0.009478
5," zc04_161b ",25,0,5.036667,2.976667,0.529336,0.736917,0.219278,2.016667,0.314056,0,0.113119,0.828936,148.233992,0.043558
5," zc04_161b ",26,0,2.663333,1.8,0.16488,0.855901,0.116,4.92,0.164444,0,0.246383,1.831996,104.998641,0.095573
5," zc04_161b ",27,0,8.97,17.59,1.436828,0.679193,0.823111,2.423333,1.42661,0.456861,0.203314,1.495372,798.594707,0.122755
5," zc04_161b ",28,0,5.72,9.026667,0.575193,0.36037,0.294667,1.63,1.42661,0,0.118163,1.030046,216.765139,0.101029
5," zc04_161b ",29,0,11.836667,6.36,0.26457,0.569971,0.353222,1.046667,1.42661,0,0.174626,1.262476,241.658627,0.13983
5," zc04_161b ",30,0,5.253333,9.406667,0.719111,0.349109,0.329944,2.02,1.42661,0,0.095819,0.96047,219.021978,0.040542
5," zc04_161b ",31,0,9.81,5.776667,0.358135,0.601973,0.328278,1.306667,1.42661,0,0.08295,0.732896,231.795171,0.04457
5," zc04_161b ",32,0,7.86,3.69,0.355924,0.728733,0.2385,6.257245,1.42661,0,0.122704,1.116338,179.384851,0.13942
6," zc04_175a ",1,0,21.683333,22.25,0.894488,0.893649,1.136056,1.906667,1.767444,0.720028,0.182801,0.728325,1325.485981,0.079862
